Date,ZipCode,WaterUse,PowerUse
04_2009,90004,37.31,340
05_2009,90004,38.9,351
06_2009,90004,37.68,341
07_2009,90004,40.51,396
08_2009,90004,40.93,434
09_2009,90004,38.04,385
10_2009,90004,36.9,373
11_2009,90004,33.35,373
12_2009,90004,32.61,393
01_2010,90004,30.88,390
02_2010,90004,26.6,349
03_2010,90004,31.5,358
04_2010,90004,32.74,324
05_2010,90004,35.77,334
06_2010,90004,36,324
07_2010,90004,38.45,357
08_2010,90004,39.69,375
09_2010,90004,36.15,357
10_2010,90004,34.96,366
11_2010,90004,31.65,383
12_2010,90004,30.97,408
01_2011,90004,31.17,389
02_2011,90004,28.41,339
03_2011,90004,32.2,362
04_2011,90004,32.85,340
05_2011,90004,35.8,347
06_2011,90004,36.24,337
07_2011,90004,38.74,366
08_2011,90004,38.87,382
09_2011,90004,35.7,352
10_2011,90004,34.76,353
11_2011,90004,31.69,370
12_2011,90004,31.62,397
01_2012,90004,31.76,379
02_2012,90004,29.97,344
03_2012,90004,32.23,351
04_2012,90004,31.78,328
05_2012,90004,36.24,335
06_2012,90004,36.94,326
07_2012,90004,22.91,397
08_2012,90004,23.75,437
09_2012,90004,21.39,400
10_2012,90004,21.11,396
11_2012,90004,15.45,381
12_2013,90004,13.1,394
01_2013,90004,14.06,386
02_2013,90004,13.47,341
03_2013,90004,16.81,344
04_2013,90004,18.07,310
05_2013,90004,20.48,343
06_2013,90004,21.27,346
07_2005,90005,81.35,323
08_2005,90005,81,326
09_2005,90005,78.17,306
10_2005,90005,77.15,316
11_2005,90005,72.53,315
12_2005,90005,73.33,329
01_2006,90005,73.11,341
02_2006,90005,64.98,309
03_2006,90005,71.44,331
04_2006,90005,67.81,314
05_2006,90005,76.62,313
06_2006,90005,74.83,315
07_2006,90005,82.04,371
08_2006,90005,81.15,365
09_2006,90005,76.64,307
10_2006,90005,76.34,315
11_2006,90005,72.23,325
12_2006,90005,72.81,344
01_2007,90005,71.7,361
02_2007,90005,64.77,320
03_2007,90005,73.31,317
04_2007,90005,71.56,303
05_2007,90005,74.41,302
06_2007,90005,73.82,301
07_2007,90005,75.22,344
08_2007,90005,74.58,347
09_2007,90005,70.83,313
10_2007,90005,69.48,322
11_2007,90005,66.77,327
12_2007,90005,63.01,344
01_2008,90005,61.83,356
02_2008,90005,56.6,328
03_2008,90005,64.48,302
04_2008,90005,63.16,291
05_2008,90005,68.82,319
06_2008,90005,66.53,315
07_2008,90005,71.83,336
08_2008,90005,71.08,337
09_2008,90005,68.72,316
